"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",9.91587044733145e-21,1.16015684233778e-18,1.1778932614942,0.907717685142278,1.7439303891074,151,"CD19,CD79A,IGHM,IGHV2-70,IGHV4-59,PRKCB,IGHV3-7,IGLV3-19,IGKV2-28,IGHV4-34,BLK,IGLV1-47,IGLV1-44,IGKV2D-28,IGLC2,IGLV2-11,IGHV3-48,IGKV3-15,CD22,BTK,IGKV1-16,IGHV4-39,IGHV3-11,IGLV2-8,IGKV1-5,IGKV2-30,IGHV3-13,IGKV1-17,IGKV1-33,IGHV2-5,CARD11,IGHV3-33,IGLV1-40,IGLV3-27,IGKV3-11,VAV1,IGLV2-23,IGHV1-69,IGKV1-39,IGLC3,IGKV1-12,IGKV1D-12,IGLV2-14,IGHV3-30,IGHV3-23,IGLV1-51,IGLV3-21,IGKV1D-33,IGHV3-53,IGLV6-57,IGKV4-1,IGKV1D-16,IGKV5-2,IGHV1-2,PIK3CD,IGKV1D-39,IGHV1-46,IGKV2D-30,IGKV3D-20,IGLV3-25,PTPN6,NFATC2,PIK3AP1,NFKB1,IGKV3-20,IGLV7-43,CD79B,BLNK,IGHD,IGKV2D-40,SYK,LYN","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY THE B CELL RECEPTOR BCR",72
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",7.64108914906502e-21,1.16015684233778e-18,1.1778932614942,0.899357693771581,1.72792563394011,169,"ITK,IGHV2-70,IGHV4-59,LCP2,IGHV3-7,IGLV3-19,IGKV2-28,IGHV4-34,IGLV1-47,IGLV1-44,IGKV2D-28,IGLC2,IGLV2-11,IGHV3-48,IGKV3-15,BTK,IGKV1-16,IGHV4-39,IGHV3-11,IGLV2-8,IGKV1-5,IGKV2-30,IGHV3-13,IGKV1-17,IGKV1-33,IGHV2-5,CARD11,IGHV3-33,IGLV1-40,IGLV3-27,IGKV3-11,VAV1,IGLV2-23,IGHV1-69,IGKV1-39,IGLC3,IGKV1-12,IGKV1D-12,IGLV2-14,IGHV3-30,IGHV3-23,IGLV1-51,IGLV3-21,IGKV1D-33,IGHV3-53,IGLV6-57,FCER1G,IGKV4-1,IGKV1D-16,IGKV5-2,IGHV1-2,IGKV1D-39,IGHE,LAT2,GRAP2,IGHV1-46,TXK,IGKV2D-30,IGKV3D-20,IGLV3-25,RASGRP2,NFATC2,NFKB1,IGKV3-20,IGLV7-43","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"FC EPSILON RECEPTOR FCERI SIGNALING",65
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",4.51438113566308e-18,3.5212172858172e-16,1.0959292864312,0.91313589760433,1.75062545188237,124,"CD3G,CD247,IGHV2-70,IGHV4-59,IGHV3-7,IGLV3-19,IGKV2-28,IGHV4-34,IGLV1-47,IGLV1-44,IGKV2D-28,IGLC2,IGLV2-11,CYSLTR1,IGHV3-48,IGKV3-15,IGKV1-16,IGHG2,GNGT2,IGHV4-39,IGHV3-11,IGLV2-8,IGKV1-5,IGKV2-30,IGHV3-13,IGKV1-17,IGKV1-33,IGHV2-5,FCGR1A,IGHG1,IGHV3-33,IGLV1-40,IGLV3-27,IGKV3-11,IGLV2-23,IGHV1-69,IGKV1-39,IGLC3,IGKV1-12,FGR,IGKV1D-12,IGLV2-14,IGHV3-30,FCGR3A,IGHV3-23,IGLV1-51,IGLV3-21,IGKV1D-33,IGHV3-53,IGLV6-57,CYSLTR2,IGKV4-1,IGKV1D-16,IGKV5-2,IGHV1-2,IGHG4,IGKV1D-39,HCK,DPEP2,IGHV1-46,CD163,IGKV2D-30,IGKV3D-20,IGLV3-25,IL10,IGKV3-20,IGLV7-43","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTI INFLAMMATORY RESPONSE FAVOURING LEISHMANIA PARASITE INFECTION",67
"REACTOME_COMPLEMENT_CASCADE",6.25864337533949e-16,3.6613063745736e-14,1.02766987054358,0.923738016262244,1.75863832131364,95,"GZMM,CD19,IGHV2-70,IGHV4-59,IGHV3-7,IGLV3-19,IGKV2-28,IGHV4-34,IGLV1-47,IGLV1-44,IGKV2D-28,IGLC2,IGLV2-11,C1QB,IGHV3-48,IGKV3-15,IGKV1-16,IGHG2,IGHV4-39,IGHV3-11,IGLV2-8,IGKV1-5,IGKV2-30,C1QC,IGHV3-13,IGKV1-17,IGKV1-33,IGHV2-5,C1QA,IGHG1,IGHV3-33,IGLV1-40,IGLV3-27,IGKV3-11,IGLV2-23,IGHV1-69,IGKV1-39,IGLC3,IGKV1-12,IGKV1D-12,IGLV2-14,IGHV3-30,IGHV3-23,IGLV1-51,C2,IGLV3-21,IGKV1D-33,IGHV3-53,IGLV6-57,IGKV4-1,IGKV1D-16,IGKV5-2,C3AR1,IGHV1-2,CR2,IGHG4,IGKV1D-39,IGHV1-46,C1S,IGKV2D-30,IGKV3D-20,IGLV3-25,FCN1,IGKV3-20,IGLV7-43,CR1,C4A,C7,IGKV2D-40,C1R,C4B","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"COMPLEMENT CASCADE",71
"REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY",1.13693416429032e-15,5.32085188887868e-14,1.01754479730988,0.844074410725985,1.62018132974557,241,"CD3E,CD3D,PDCD1,CD3G,CD247,BTLA,HLA-DRA,HLA-DPA1,TRBV7-9,IRF1,HLA-DQA1,TRAV19,HLA-DRB1,HLA-DPB1,ICOS,TRAV8-4,TRAV29DV5,LCK,HLA-DRB5,CTLA4,PIK3CG,PIK3R5,CD86,CD4,HLA-DQB1,CD28,CD274,TRBV12-3,VAV1,HLA-DQA2,PIK3CD,STAT1,PDCD1LG2,GRAP2,HLA-DQB2,PTPN6,MAP3K14,CD80,NFKB1,NFKB2,DERL3,TNFRSF14,TCF7","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"REGULATION OF T CELL ACTIVATION BY CD28 FAMILY",43
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",3.14146489728767e-15,1.22517130994219e-13,1.00731795687447,0.927912816573954,1.76119522917177,85,"CD19,CD79A,IGHM,IGHV2-70,IGHV4-59,IGHV3-7,IGLV3-19,IGKV2-28,IGHV4-34,BLK,IGLV1-47,IGLV1-44,IGKV2D-28,IGLC2,IGLV2-11,IGHV3-48,IGKV3-15,CD22,BTK,IGKV1-16,IGHV4-39,IGHV3-11,IGLV2-8,IGKV1-5,IGKV2-30,IGHV3-13,IGKV1-17,IGKV1-33,IGHV2-5,IGHV3-33,IGLV1-40,IGLV3-27,IGKV3-11,VAV1,IGLV2-23,IGHV1-69,IGKV1-39,IGLC3,IGKV1-12,IGKV1D-12,IGLV2-14,IGHV3-30,IGHV3-23,IGLV1-51,IGLV3-21,IGKV1D-33,IGHV3-53,IGLV6-57,IGKV4-1,IGKV1D-16,IGKV5-2,IGHV1-2,PIK3CD,IGKV1D-39,IGHV1-46,IGKV2D-30,IGKV3D-20,IGLV3-25,PTPN6,PIK3AP1,IGKV3-20,IGLV7-43,CD79B,BLNK,IGHD,IGKV2D-40,SYK,LYN","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING TO GENERATION OF SECOND MESSENGERS",68
"REACTOME_SIGNALING_BY_INTERLEUKINS",1.46960797985521e-14,4.91268953265885e-13,0.97599468306432,0.794934162649566,1.52030307346489,411,"FASLG,IFNG,CCL5,CCR5,IL12RB1,IL2RG,PTPN7,IL18RAP,IL2RB,CCL4,IL18BP,TNFRSF1B,IL21R,IL10RA,JAK3,IRF4,CCR2,FCER2,STAT4,LCK,CXCL10,IL16,EBI3,CCL19,IL12B,HAVCR2,NLRC5,CD86,CD4,CSF2RB,IGHG1,IL15RA,VAV1,VCAM1,IL15,IL2RA,PTK2B,PIK3CD,PTAFR,IGHG4,STAT1,ITGB2,JAK2,IGHE,CCR1,HCK,IL7R,CCL3,PTPN6,IL7,IL27,SOCS1,IL10,ITGAX,CD80,ITGAM,NFKB1,CSF1,NFKB2,IL32,CSF1R,INPP5D,BLNK,LBP,FPR1,CSF2RA,CASP1,CCL2,BATF,IL3RA,LGALS9,PSME2,STAT2,SYK,LYN,N4BP1,NOD2,IRAK4,IL18R1,LCP1,RAPGEF1,CCL22,IL1RL1,MYD88,IL18,IL27RA,IL23A,ALPK1,CAPZA1,CCL3L3,IL6ST,ALOX5,ICAM1,CISH,CASP8,GRB2,MAP3K8,TEC,CTSG,TRAF2,USP18,IL12A,IL4R,OSM,IKBKG,IL6,IRAK1,MAPKAPK3,S1PR1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY INTERLEUKINS",109
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",2.33639397332248e-14,6.07462433063845e-13,0.97599468306432,0.936074685241286,1.76427332850804,72,"GZMM,IGHV2-70,IGHV4-59,IGHV3-7,IGLV3-19,IGKV2-28,IGHV4-34,IGLV1-47,IGLV1-44,IGKV2D-28,IGLC2,IGLV2-11,C1QB,IGHV3-48,IGKV3-15,IGKV1-16,IGHG2,IGHV4-39,IGHV3-11,IGLV2-8,IGKV1-5,IGKV2-30,C1QC,IGHV3-13,IGKV1-17,IGKV1-33,IGHV2-5,C1QA,IGHG1,IGHV3-33,IGLV1-40,IGLV3-27,IGKV3-11,IGLV2-23,IGHV1-69,IGKV1-39,IGLC3,IGKV1-12,IGKV1D-12,IGLV2-14,IGHV3-30,IGHV3-23,IGLV1-51,C2,IGLV3-21,IGKV1D-33,IGHV3-53,IGLV6-57,IGKV4-1,IGKV1D-16,IGKV5-2,IGHV1-2,IGHG4,IGKV1D-39,IGHV1-46,C1S,IGKV2D-30,IGKV3D-20,IGLV3-25,FCN1,IGKV3-20,IGLV7-43,C4A,IGKV2D-40,C1R,C4B","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INITIAL TRIGGERING OF COMPLEMENT",66
"REACTOME_TCR_SIGNALING",2.26480250634552e-14,6.07462433063845e-13,0.97599468306432,0.903133486629381,1.72837171532708,106,"CD3E,CD3D,CD3G,CD247,TRAT1,HLA-DRA,ITK,HLA-DPA1,TRBV7-9,HLA-DQA1,ZAP70,TRAV19,PTPRC,HLA-DRB1,LCP2,WAS,HLA-DPB1,FYB1,TRAV8-4,TRAV29DV5,LCK,HLA-DRB5,CD4,HLA-DQB1,CARD11,TRBV12-3,HLA-DQA2,PTPN22,GRAP2,HLA-DQB2,NFKB1,INPP5D","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"TCR SIGNALING",32
"REACTOME_DOWNSTREAM_TCR_SIGNALING",5.71805165312983e-13,1.33802408683238e-11,0.921426003494898,0.914954005119475,1.73659917176022,85,"CD3E,CD3D,CD3G,CD247,TRAT1,HLA-DRA,HLA-DPA1,TRBV7-9,HLA-DQA1,TRAV19,HLA-DRB1,HLA-DPB1,TRAV8-4,TRAV29DV5,LCK,HLA-DRB5,CD4,HLA-DQB1,CARD11,TRBV12-3,HLA-DQA2,HLA-DQB2,NFKB1,INPP5D","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"DOWNSTREAM TCR SIGNALING",24
"REACTOME_INTERFERON_SIGNALING",4.00315841849963e-10,8.51580972662649e-09,0.814035837847908,0.80072284928998,1.53607897549012,260,"GBP5,IFNG,GBP4,HLA-DRA,CIITA,HLA-DPA1,IRF1,HLA-DQA1,HLA-DRB1,IRF4,HLA-DPB1,HLA-DRB5,GBP1,IRF8,B2M,HLA-DQB1,FCGR1A,SAMHD1,HLA-DQA2,VCAM1,GBP2,HLA-E,GBP6,PTAFR,STAT1,JAK2,TRIM22,HLA-DQB2,PTPN6,HLA-B,SOCS1,UBE2L6,FKBP5,IRF2,PSMB8,HLA-H,UBA7,IFI30,TRIM21,HLA-A,XAF1,CASP1,IFIH1,IFIT2,HERC5,HLA-C,GBP3,HLA-F,PML,TRIM14,STAT2,SP100,RSAD2,PTPN1,HLA-G,EIF4E3,OAS3,IFI35,OASL,IFIT5,IFIT3,OAS2,NUP210,IRF5,IFI44L,NCK1,IRF9,ICAM1,ISG20,TRIM5,OAS1,IFI44,USP18","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERFERON SIGNALING",73
"REACTOME_INTERFERON_GAMMA_SIGNALING",6.59262297681062e-09,1.28556148047807e-07,0.761460801445585,0.872334176482686,1.65843387450289,89,"GBP5,IFNG,GBP4,HLA-DRA,CIITA,HLA-DPA1,IRF1,HLA-DQA1,HLA-DRB1,IRF4,HLA-DPB1,HLA-DRB5,GBP1,IRF8,B2M,HLA-DQB1,FCGR1A,HLA-DQA2,VCAM1,GBP2,HLA-E,GBP6,PTAFR,STAT1,JAK2,TRIM22,HLA-DQB2,PTPN6,HLA-B,SOCS1,IRF2,HLA-H,IFI30,TRIM21,HLA-A,HLA-C,GBP3,HLA-F,PML,TRIM14,SP100,PTPN1,HLA-G,OAS3,OASL,OAS2,IRF5,IRF9,ICAM1,TRIM5,OAS1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERFERON GAMMA SIGNALING",51
"REACTOME_SIGNALING_BY_GPCR",2.08107670998832e-06,3.74593807797897e-05,0.627256739718528,0.705919834806662,1.34863963561273,473,"CCL5,CXCR3,P2RY10,CCR5,CXCL9,CXCL13,CCL4,CXCR6,XCL2,CCR7,S1PR4,CCR2,PRKCB,CXCL10,CXCL11,CYSLTR1,CCL19,PIK3CG,GPR65,BTK,GNGT2,RGS18,PIK3R5,P2RY13,XCR1,CMKLR1,VAV1,XCL1,GPSM3,CCRL2,CCR4,FGD2,CYSLTR2,GPR15,CCR8,C3AR1,CGA,PTAFR,PLCB2,CCR1,FPR3,CCL3,GPR183,FGD3,PNOC,RASGRP2,PREX1,SUCNR1,KEL,ADGRE5,PTGER4,GPBAR1,RGS1,CCL13,CCL21,PRKCH,LPAR6,ARRB2,P2RY12,CCL4L2,GPR84,LPAR5,INSL3,FPR1,CCL23,CCL2,ACKR1,PDE3B,CXCR1,PRKCQ,ADGRE1,ADORA3,CCL22,GRK3,PTGER2,ARHGEF3,RAMP3,GRK6,UTS2,C3,GPR132,C5AR1,P2RY14,PPP3CC,GPR18,CXCL16,GNG2,PIK3R6,CCL3L3,RGS19,CAMK4,CCL7,CRHBP,ADRB2,RASGRP1,ADGRE2,ADCY3,GRB2,HRH2,AVPR2,GPR55,HCAR2,DGKA,WNT10B,S1PR3,FFAR2,GRK2,ADRA2A,S1PR1,UCN2,TAS1R3,ARHGEF1,CNR1,FFAR4,CXCL6,CX3CL1,PSAP,CCL17","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY GPCR",118
"REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING",8.62914019399856e-06,0.000144229914671119,0.593325476396405,0.913382529330119,1.63338380828845,35,"IL2RG,IL2RB,IL21R,JAK3,STAT4,LCK,HAVCR2,CSF2RB,IL15RA,IL15,IL2RA,PTK2B,PIK3CD,STAT1,JAK2,PTPN6,INPP5D,CSF2RA,IL3RA,LGALS9,SYK","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 2 FAMILY SIGNALING",21
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",1.08398327876591e-05,0.000169101391487482,0.593325476396405,0.825369011657056,1.57038797841991,93,"NCF1,B2M,BTK,CTSS,TAP1,FCGR1A,NCF4,PSMB10,PSMB9,CYBB,HLA-E,TAP2,HLA-B,TLR4,LY96,PSMB8,TLR6,HLA-A,TLR1,NCF2,TAPBP,PSME1,HLA-C,MRC1,HLA-F,CTSL,PSME2,S100A9,HLA-G,CD14,MYD88,TLR2,LNPEP,S100A8","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTIGEN PROCESSING CROSS PRESENTATION",34
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",2.58960556642614e-05,0.000378729814089823,0.575610261071129,0.852443420286064,1.59888770681007,64,"IRF1,IRF4,IRF8,SAMHD1,GBP2,HLA-E,STAT1,PTPN6,HLA-B,SOCS1,IRF2,PSMB8,HLA-H,HLA-A,XAF1,IFIT2,HLA-C,HLA-F,STAT2,RSAD2,PTPN1,HLA-G,OAS3,IFI35,OASL,IFIT5,IFIT3,OAS2,IRF5,IRF9,ISG20,OAS1,USP18,BST2,IFITM1,MX2,JAK1,SOCS3,ADAR,IRF7","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERFERON ALPHA BETA SIGNALING",40
"REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER",3.2015469801153e-05,0.000440683525498223,0.557332238758646,0.898374578124771,1.60028267618059,34,"GZMB,PRF1,ZAP70,IL10RA,IRF4,ICOS,PTPN6","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"NUCLEAR EVENTS STIMULATED BY ALK SIGNALING IN CANCER",7
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION",5.75130006506179e-05,0.000747669008458033,0.557332238758646,0.800027315653505,1.531966310843,114,"LAG3,HLA-DRA,HLA-DPA1,HLA-DMA,HLA-DMB,CD74,HLA-DQA1,HLA-DOA,HLA-DRB1,HLA-DPB1,HLA-DRB5,CTSS,HLA-DQB1,HLA-DQA2,HLA-DOB,HLA-DQB2,IFI30,CTSC,CTSL,CTSO","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"MHC CLASS II ANTIGEN PRESENTATION",20
"REACTOME_EPH_EPHRIN_SIGNALING",8.74361414772737e-05,0.00107684511082537,0.538434096309916,-0.583837049174153,-1.85104322031907,88,"EPHA7,EFNA2,DNM1,EFNA3,EPHB3,SDC2,EFNA4,CLTCL1,EFNB3,EPHB4,EPHA8,NGEF,MYH10,GRIN1,EPHB1,MYL9,ARPC1A,APH1A,EPHA3,EFNA1,KALRN,EFNA5,EFNB2,PSENEN,MYL6,SRC,MYH14","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",TRUE,"EPH EPHRIN SIGNALING",27
"REACTOME_INTERLEUKIN_10_SIGNALING",0.000135932667171246,0.00155719754332697,0.518848077743792,0.871225134935152,1.5787460014013,41,"CCL5,CCR5,CCL4,TNFRSF1B,IL10RA,CCR2,FCER2,CXCL10,CCL19,IL12B,CD86,PTAFR,CCR1,CCL3,IL10,CD80,CSF1,FPR1,CCL2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 10 SIGNALING",19
"REACTOME_SIGNALING_BY_ALK_IN_CANCER",0.000139748497478062,0.00155719754332697,0.518848077743792,0.807984694587758,1.53579179347825,88,"GZMB,PRF1,ZAP70,IL10RA,IRF4,ICOS,STAT1,PTPN6,IL10","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY ALK IN CANCER",9
"REACTOME_MET_ACTIVATES_PTK2_SIGNALING",0.000157075952181619,0.00167071694593177,0.518848077743792,-0.718308565362081,-1.79414842707507,30,"COL11A1,LAMA4,LAMB2,COL5A1,COL2A1,COL1A2,COL24A1,COL1A1,LAMA1,LAMB1,COL5A2,FN1,COL3A1,LAMC3,COL11A2,ITGA2,SRC","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",TRUE,"MET ACTIVATES PTK2 SIGNALING",17
"REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING",0.000228837063561675,0.00232816838580139,0.518848077743792,0.871006825490852,1.58404061237561,42,"IL2RG,IL2RB,JAK3,CSF2RB,VAV1,IL2RA,PIK3CD,JAK2,HCK,PTPN6,INPP5D,BLNK,CSF2RA,IL3RA,SYK,LYN,RAPGEF1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 3 INTERLEUKIN 5 AND GM CSF SIGNALING",17
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",0.000262600429669018,0.00256035418927293,0.49849310876659,0.787026301126201,1.50481549983629,103,"FASLG,IL2RG,TNFRSF1B,JAK3,IRF4,FCER2,IL12B,IGHG1,VCAM1,IGHG4,STAT1,ITGB2,JAK2,IGHE,SOCS1,IL10,ITGAX,ITGAM,LBP,CCL2,BATF,CCL22,IL18,IL23A,ALOX5,ICAM1,IL12A,IL4R,OSM,IL6,S1PR1,IL1B,JAK1,SAA1,SOCS3,TNF","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING",36
"REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING",0.000720277050819347,0.00674179319566909,0.477270815362862,0.904859706435387,1.52956339044586,21,"IL2RG,IL2RB,JAK3,CSF2RB,IL2RA,PIK3CD,JAK2,PTPN6,INPP5D,CSF2RA,IL3RA","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN RECEPTOR SHC SIGNALING",11
"REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING",0.00102086067036363,0.00918774603327267,0.45505986738723,0.82626269229545,1.52799202062124,53,"IFNG,IL12RB1,STAT4,EBI3,IL12B,STAT1,JAK2,IL27,IL10,PSME2,LCP1,IL27RA,IL23A,CAPZA1,IL6ST","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 12 FAMILY SIGNALING",15
"REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING",0.00119930434729147,0.0103939710098594,0.45505986738723,0.886061370689492,1.53689872154802,26,"LCK,PIK3CG,PIK3R5,CD86,CD28,PIK3CD,MAP3K14,CD80","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"CD28 DEPENDENT PI3K AKT SIGNALING",8
"REACTOME_DAP12_SIGNALING",0.00135277638971006,0.011305345542577,0.45505986738723,0.891881169946875,1.54018333095526,25,"LCP2,LCK,B2M,BTK,KLRD1,HLA-E,GRAP2,TYROBP,SYK,PLCG2,TREM2,GRB2","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"DAP12 SIGNALING",12
"REACTOME_DISEASES_OF_IMMUNE_SYSTEM",0.00245568894507479,0.0198148694188794,0.431707695803346,0.869539041866609,1.52576004996258,29,"TLR10,BTK,TLR7,TLR4,NFKB1,NFKB2,LY96,TLR6,TLR3,TLR1,IRAK4,S100A9,CD14,MYD88,TRAF3,TLR2,S100A8,IKBKG,NFKBIA","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"DISEASES OF IMMUNE SYSTEM",19
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",0.00269409818883321,0.021013965872899,0.431707695803346,0.869159302036819,1.52509372926416,29,"B2M,TAP1,HLA-E,ERAP1,TAP2,HLA-B,HLA-A,ERAP2,TAPBP,HLA-C,HLA-F,HLA-G","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTIGEN PRESENTATION FOLDING ASSEMBLY AND PEPTIDE LOADING OF CLASS I MHC",12
"REACTOME_FLT3_SIGNALING",0.0037539355776217,0.0273684210526316,0.260820567718869,0.832569238153163,1.49787721540508,37,"SLA2,LCK,SLA,HCK,GRAP2,SH2B3,SYK,FLT3","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"FLT3 SIGNALING",8
"REACTOME_INTERLEUKIN_12_SIGNALING",0.00385964912280702,0.0273684210526316,0.252643909566276,0.819535805534133,1.49576968637283,44,"IFNG,IL12RB1,STAT4,IL12B,JAK2,IL10,PSME2,LCP1,CAPZA1","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 12 SIGNALING",9
"REACTOME_DIFFERENTIATION_OF_NAIVE_CD_T_CELLS_TO_T_HELPER_1_CELLS_TH1_CELLS",0.0037994313785641,0.0273684210526316,0.431707695803346,0.940167720359085,1.48930958175712,12,"TBX21,IFNG,CXCR3,STAT4,STAT1,CCL3","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"DIFFERENTIATION OF NAIVE CD T CELLS TO T HELPER 1 CELLS TH1 CELLS",6
"REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES",0.00402892561983471,0.0277284880894507,0.232056818075608,0.746039772080214,1.42893849838762,108,"B2M,TLR8,HLA-E,TLR7,STAT1,PTPN6,HLA-B,NLRP3,HLA-A,TLR1,IFIH1,HLA-C,STING1,HLA-F,STAT2,NOD2,HLA-G,NUP210,TRAF3,IKBKE,SFTPD,TLR2,IKBKG,IRAK1,JAK1,IRAK2,NUP54,IL17RA,IRF7,RIGI,NUP98,G3BP2,TRIM25,NUP93,SEC24A","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SARS COV 2 ACTIVATES MODULATES INNATE AND ADAPTIVE IMMUNE RESPONSES",35
"REACTOME_SIGNALING_BY_FGFR",0.00599299017316141,0.0389544361255492,0.407017918923954,-0.505260347062735,-1.55451630478263,76,"FGFRL1,FGFR3,RBFOX2,FLRT2,SPRY2,FGFBP2,SPRED2,FLRT3,PPP2R1A,FGFR1,GTF2F2,POLR2J,POLR2I,SRC,FGFBP3,PLCG1,POLR2F","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",TRUE,"SIGNALING BY FGFR",17
"REACTOME_INTERLEUKIN_2_SIGNALING",0.0058894855361164,0.0389544361255492,0.248832632022043,0.927577776101882,1.45789699781704,11,"IL2RG,IL2RB,JAK3,LCK,IL2RA,PTK2B","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 2 SIGNALING",6
"REACTOME_INTERLEUKIN_15_SIGNALING",0.00677200902934537,0.0417013187596531,0.223479119117479,0.911820800823411,1.47145829349435,14,"IL2RG,IL2RB,JAK3,IL15RA,IL15","Basal","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 15 SIGNALING",5
