"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","subtype","comparison","gene_set","direction","significant","pathway_clean","n_leading"
"REACTOME_TCR_SIGNALING",3.63289929497329e-13,6.73315064185282e-11,0.932595211336209,0.903835112639561,1.62097205429116,105,"CD247,CD3D,LCK,CD3G,CD3E,TRAT1,ITK,ZAP70,PRKCQ,TRBV7-9,TRAV8-4,GRAP2,WAS,PTPRC,LCP2,CARD11,INPP5D,TRAV29DV5,FYB1,HLA-DPB1,CD4,PTPN22,HLA-DRA,HLA-DPA1,TRAV19,HLA-DRB1,PLCG2,HLA-DQA1,HLA-DQB1,CD101,HLA-DQA2,PAG1,HLA-DRB5","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"TCR SIGNALING",33
"REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING",5.77952844794233e-13,6.73315064185282e-11,0.921426003494898,0.861365568645447,1.53982456757071,169,"ITK,PRKCQ,GRAP2,RASGRP2,LCP2,CARD11,FYN,IGLC2,BTK,IGLV1-47,IGLC3,IGLV1-40,IGKV3-15,IGLV2-14,IGLV1-44,IGHV1-46,IGKV1-5,IGHV2-5,VAV1,PLCG2,IGHV1-2,IGHV3-30,IGHV4-39,TXK,LYN,IGHV4-34,IGLV2-8,IGKV3-20,IGKV4-1,IGKV1-16,IGHV2-70,IGLV2-11,IGHV3-23,IGKV1-12,IGHV3-53,IGLV3-19,IGKV2D-30,IGLV3-25,IGKV2-30,IGLV3-27,IGLV6-57,IGKV2D-40,IGHV3-11,IGLV3-21,IGKV3-11,IGKV1-33,IGHV3-33,IGHV3-13,IGLV2-23,IGKV1D-16,IGKV1-17,IGHV1-69,IGKV1D-12,IGHV3-48,IGHV3-7,IGKV2-28,IGKV1D-33,IGLV1-51,NFATC2,IGHV4-59,FCER1G,LAT2,IGKV2D-28,IGKV1-39,IGKV3D-20,IGLV7-43,RASGRP4,IGKV1D-39,FCER1A,IGKV5-2","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"FC EPSILON RECEPTOR FCERI SIGNALING",70
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",1.39991349117974e-12,8.74363938342814e-11,0.910119734774459,0.866518710565035,1.54953050915559,151,"PRKCB,CD79B,CD19,CD79A,BLK,PIK3CD,CARD11,IGHM,FYN,IGLC2,BTK,IGLV1-47,IGLC3,IGLV1-40,IGKV3-15,IGLV2-14,IGLV1-44,IGHV1-46,IGKV1-5,IGHV2-5,VAV1,PLCG2,IGHV1-2,IGHV3-30,IGHV4-39,LYN,IGHV4-34,IGLV2-8,IGKV3-20,IGKV4-1,IGKV1-16,IGHV2-70,IGLV2-11,IGHV3-23,IGKV1-12,IGHV3-53,IGLV3-19,IGKV2D-30,IGLV3-25,IGKV2-30,IGLV3-27,IGLV6-57,IGKV2D-40,IGHV3-11,IGLV3-21,IGKV3-11,IGKV1-33,IGHV3-33,IGHV3-13,IGLV2-23,PIK3AP1,IGKV1D-16,IGKV1-17,IGHV1-69,IGKV1D-12,IGHV3-48,IGHV3-7,IGKV2-28,IGKV1D-33,IGLV1-51,IGHD,NFATC2,SH3KBP1,IGHV4-59,IGKV2D-28,IGKV1-39,IGKV3D-20,IGLV7-43,IGKV1D-39,NFKBIE,IGKV5-2,RASGRP3,CD22","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY THE B CELL RECEPTOR BCR",73
"REACTOME_SIGNALING_BY_INTERLEUKINS",1.50105397140397e-12,8.74363938342814e-11,0.910119734774459,0.786058166438159,1.39921617291475,406,"CCL5,LCK,FASLG,IL2RG,CCR5,PTPN7,IL12B,IL18RAP,TNFRSF1B,CCL19,IL12RB1,CCR2,JAK3,CSF2RB,IL7R,IL10RA,IFNG,FCER2,IL18BP,IRF4,PIK3CD,INPP5D,CXCL10,NLRC5,STAT4,IL2RA,EBI3,CD4,IL16,FYN,CCL4,IL15RA,IL18R1,SOCS1,IGHG1,VAV1,IL21R,S1PR1,LYN,IL15,LGALS9,IL10,CSF2RA,ITGB2,PTAFR,CASP1,CD86,LCP1,IL33,STAT1,IL32,IL34,IL1R2,CCL2,VCAM1,IL2RB,CCR1,IL3RA,SAA1,IL6,PIM1,IL7,ITGAX,CTSG,S100B,IL18,HAVCR2,CSF1R,IL23A,PTK2B,IL12RB2,FOXO1,MEF2C,HCK,STAT2,IL11RA,IL6R,IL12A,IL22RA2,FPR1,PSME2,CD80,SOCS3,NDN,CCL11,ANXA1,IL27RA,VIM,TGFB1,MSN,PTGS2,RAPGEF1,CXCL2,ICAM1,POMC,NFKB2,IGHG4,PTPN6,IL4R","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY INTERLEUKINS",99
"REACTOME_COMPLEMENT_CASCADE",2.05753479376539e-11,9.5881121389467e-10,0.863415391606693,0.89776947207805,1.61135877166745,96,"GZMM,CD19,FCN1,CR2,C1QA,IGHG2,C1QB,IGLC2,C3,IGLV1-47,IGLC3,IGLV1-40,IGKV3-15,IGLV2-14,IGLV1-44,IGHV1-46,IGKV1-5,IGHV2-5,IGHG1,IGHV1-2,C1QC,IGHV3-30,IGHV4-39,CR1,IGHV4-34,IGLV2-8,IGKV3-20,IGKV4-1,IGKV1-16,IGHV2-70,IGLV2-11,IGHV3-23,IGKV1-12,IGHV3-53,IGLV3-19,C7,IGKV2D-30,IGLV3-25,IGKV2-30,IGLV3-27,IGLV6-57,IGKV2D-40,IGHV3-11,IGLV3-21,IGKV3-11,IGKV1-33,IGHV3-33,IGHV3-13,IGLV2-23,IGKV1D-16,IGKV1-17,IGHV1-69,IGKV1D-12,IGHV3-48,C1R,IGHV3-7,IGKV2-28,IGKV1D-33,IGLV1-51,SERPING1,CFI,CFH,IGHV4-59,IGKV2D-28,C1S,IGKV1-39,C3AR1,IGKV3D-20,IGLV7-43,IGKV1D-39,IGKV5-2,PROS1,CFD,C2,IGHG4,C6","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"COMPLEMENT CASCADE",76
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",4.1113329468157e-11,1.5965676276801e-09,0.851339057116899,0.872539308596165,1.56398840460362,125,"CD247,CD3G,GNGT2,FYN,IGHG2,IGLC2,DPEP2,IGLV1-47,IGLC3,IGLV1-40,IGKV3-15,IGLV2-14,IGLV1-44,FGR,IGHV1-46,IGKV1-5,IGHV2-5,IGHG1,PLCG2,IGHV1-2,IGHV3-30,IGHV4-39,LYN,IGHV4-34,IGLV2-8,IGKV3-20,IGKV4-1,IGKV1-16,IGHV2-70,IGLV2-11,IL10,IGHV3-23,IGKV1-12,IGHV3-53,IGLV3-19,IGKV2D-30,IGLV3-25,IGKV2-30,IGLV3-27,IGLV6-57,IGKV2D-40,GNG2,IGHV3-11,IGLV3-21,IGKV3-11,IGKV1-33,IGHV3-33,IGHV3-13,IGLV2-23,IGKV1D-16,IGKV1-17,IGHV1-69,IGKV1D-12,IGHV3-48,IGHV3-7,IGKV2-28,IGKV1D-33,IGLV1-51,DPEP1,IGHV4-59,ADCY4,IL6,GNG11,CD163,IGKV2D-28,CYSLTR2,IGKV1-39,IGKV3D-20,IGLV7-43,IGKV1D-39,HCK","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTI INFLAMMATORY RESPONSE FAVOURING LEISHMANIA PARASITE INFECTION",71
"REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY",8.92005880027828e-11,2.96910528637834e-09,0.839088935621274,0.816178075916691,1.45421529482682,236,"CD247,CD3D,LCK,CD3G,CD3E,BTLA,TRBV7-9,PDCD1,ICOS,TRAV8-4,GRAP2,CTLA4,PIK3CD,TRAV29DV5,HLA-DPB1,CD4,PIK3R5,CD28,FYN,HLA-DRA,PDCD1LG2,HLA-DPA1,IRF1,TRAV19,PIK3CG,VAV1,HLA-DRB1,HLA-DQA1,LYN,HLA-DQB1,CD86,STAT1,PIK3R6,TCF7,CD274,HLA-DQA2,MAP3K14,HLA-DRB5,DERL3,CSK","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"REGULATION OF T CELL ACTIVATION BY CD28 FAMILY",40
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT",1.29011424497061e-10,3.00596619078151e-09,0.826657301178302,0.913309814163337,1.63813988249272,73,"GZMM,FCN1,C1QA,IGHG2,C1QB,IGLC2,C3,IGLV1-47,IGLC3,IGLV1-40,IGKV3-15,IGLV2-14,IGLV1-44,IGHV1-46,IGKV1-5,IGHV2-5,IGHG1,IGHV1-2,C1QC,IGHV3-30,IGHV4-39,IGHV4-34,IGLV2-8,IGKV3-20,IGKV4-1,IGKV1-16,IGHV2-70,IGLV2-11,IGHV3-23,IGKV1-12,IGHV3-53,IGLV3-19,IGKV2D-30,IGLV3-25,IGKV2-30,IGLV3-27,IGLV6-57,IGKV2D-40,IGHV3-11,IGLV3-21,IGKV3-11,IGKV1-33,IGHV3-33,IGHV3-13,IGLV2-23,IGKV1D-16,IGKV1-17,IGHV1-69,IGKV1D-12,IGHV3-48,C1R,IGHV3-7,IGKV2-28,IGKV1D-33,IGLV1-51,IGHV4-59,IGKV2D-28,C1S,IGKV1-39,IGKV3D-20,IGLV7-43,IGKV1D-39,IGKV5-2,CFD,C2,IGHG4","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INITIAL TRIGGERING OF COMPLEMENT",66
"REACTOME_DOWNSTREAM_TCR_SIGNALING",1.12345246643618e-10,3.00596619078151e-09,0.839088935621274,0.901095953420963,1.61519302256123,84,"CD247,CD3D,LCK,CD3G,CD3E,TRAT1,PRKCQ,TRBV7-9,TRAV8-4,CARD11,INPP5D,TRAV29DV5,HLA-DPB1,CD4,HLA-DRA,HLA-DPA1,TRAV19,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DRB5","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"DOWNSTREAM TCR SIGNALING",22
"REACTOME_SIGNALING_BY_GPCR",1.28339193239762e-10,3.00596619078151e-09,0.826657301178302,0.763865185985505,1.35925672467663,476,"CCL5,CXCR3,CXCL9,S1PR4,CCR7,PRKCQ,CCR5,XCL2,CXCR6,XCL1,CCL19,PRKCB,XCR1,CCR2,RASGRP2,GPR55,CXCL11,CCR4,CXCL10,GPR18,GNGT2,RGS18,GPR183,PIK3R5,WNT10A,FGD2,CCL4,CCL17,C3,BTK,PNOC,ACKR1,PIK3CG,CCL13,PLCB2,CCL23,P2RY10,CXCR4,CMKLR1,VAV1,P2RY14,ADGRE5,S1PR1,GPSM3,GPR65,CCL21,TACR1,GPBAR1,PTAFR,WNT10B,PTGER4,GNG2,CCR8,CRHBP,AVPR2,PIK3R6,S1PR2,CCL2,PDE3B,CAMK4,ARHGEF15,ARRB2,FPR3,CCR1,ADCY4,SAA1,PTGFR,GNG11,DHH,PDE1B,CHRM1,GPR15,PLA2G4A,PTCH2,CYSLTR2,PDE2A,P2RY6,C3AR1,ARHGEF1,PDE1A,NMB,GHRL,CCRL2,GRK5,RGS1,PDE7B,PTGIR,CX3CL1,GPR132,P2RY13,FPR1,PRKCH,ADGRE1,CCL11,GRK6,ANXA1,DGKA,EDN1,RGS2,CXCL2,NMUR1,UTS2,POMC,APLNR,HCAR2,LPAR5,HBEGF,RGS19,ADCYAP1R1,CCL22,CCL4L2,PSAP,LPAR6,F2R,CXCL3,ADRB2,ADGRE2,FFAR4,C5AR1,HTR2B,F2RL2,PRKCA,EDNRB,SUCNR1,PENK,CXCL1,ADCY7,RGS10,LPAR4","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"SIGNALING BY GPCR",129
"REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS",1.48060711678745e-10,3.13619507464978e-09,0.826657301178302,0.900006709682187,1.61392583742409,85,"CD79B,CD19,CD79A,BLK,PIK3CD,IGHM,FYN,IGLC2,BTK,IGLV1-47,IGLC3,IGLV1-40,IGKV3-15,IGLV2-14,IGLV1-44,IGHV1-46,IGKV1-5,IGHV2-5,VAV1,PLCG2,IGHV1-2,IGHV3-30,IGHV4-39,LYN,IGHV4-34,IGLV2-8,IGKV3-20,IGKV4-1,IGKV1-16,IGHV2-70,IGLV2-11,IGHV3-23,IGKV1-12,IGHV3-53,IGLV3-19,IGKV2D-30,IGLV3-25,IGKV2-30,IGLV3-27,IGLV6-57,IGKV2D-40,IGHV3-11,IGLV3-21,IGKV3-11,IGKV1-33,IGHV3-33,IGHV3-13,IGLV2-23,PIK3AP1,IGKV1D-16,IGKV1-17,IGHV1-69,IGKV1D-12,IGHV3-48,IGHV3-7,IGKV2-28,IGKV1D-33,IGLV1-51,IGHD,SH3KBP1,IGHV4-59,IGKV2D-28,IGKV1-39,IGKV3D-20,IGLV7-43,IGKV1D-39","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING TO GENERATION OF SECOND MESSENGERS",66
"REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT",1.51598717040722e-06,2.94354175587401e-05,0.643551836150722,-0.58987059960937,-2.03863793889595,83,"BRCA1,H4C16,RAD50,YWHAE,BRCC3,RBBP8,RFC5,TP53BP1,NSD2,RMI1,WEE1,H4C14,H2BC6,RHNO1,TOPBP1,RAD17,RAD1,HERC2,MRE11,ATR,DNA2,H2BC7,HUS1,RPA1,H4C5,UBE2V2,MDC1,H2BC9,H2BC21,H4C4,YWHAG,H4C12,TP53,CDK1,RNF8,YWHAZ,NBN,RFC3,H2BC5,H2BC4,H2BC15,UBE2N,CHEK1,KAT5,ATRIP","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",TRUE,"G2 M DNA DAMAGE CHECKPOINT",45
"REACTOME_INTERFERON_GAMMA_SIGNALING",2.70039527371714e-06,4.83993922135457e-05,0.627256739718528,0.845422725909618,1.51608980318326,89,"GBP5,IFNG,HLA-E,GBP4,IRF4,GBP1,HLA-DPB1,CIITA,HLA-DRA,IRF8,HLA-DPA1,IRF1,SOCS1,HLA-F,HLA-DRB1,HLA-DQA1,B2M,HLA-DQB1,HLA-B,PTAFR,HLA-A,STAT1,TRIM22,VCAM1,GBP2,HLA-DQA2,HLA-DRB5,PML,HLA-H,TRIM21,HLA-C,HLA-DQB2,SOCS3,MID1,ICAM1,FCGR1A,IRF5,PTPN6,IFI30,OASL,SP100,HLA-G","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERFERON GAMMA SIGNALING",42
"REACTOME_G2_M_CHECKPOINTS",1.60893378201329e-05,0.000267772550863641,0.575610261071129,-0.473012271724449,-1.7693572011698,142,"BRCA1,H4C16,ORC4,RAD50,YWHAE,MCM4,BRCC3,RBBP8,RFC5,TP53BP1,NSD2,RMI1,WEE1,H4C14,H2BC6,RHNO1,TOPBP1,ORC2,RAD17,PSMC6,RAD1,ORC5,HERC2,MRE11,ATR,DNA2,H2BC7,HUS1,RPA1,H4C5,UBE2V2,PSMD6,MDC1,CDK2,MCM2,CDC6,H2BC9,H2BC21,H4C4,CDC7,YWHAG,H4C12,TP53,CDK1,PSMD14,ORC3,RNF8,YWHAZ,NBN,RFC3,H2BC5,H2BC4,H2BC15,UBE2N,PSMC1,MCM3,CHEK1,KAT5,PSMD1,ATRIP","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",TRUE,"G2 M CHECKPOINTS",60
"REACTOME_NUCLEAR_EVENTS_STIMULATED_BY_ALK_SIGNALING_IN_CANCER",3.00483742344156e-05,0.000466751413107922,0.575610261071129,0.906719860994281,1.58839991156688,34,"PRF1,GZMB,ZAP70,ICOS,IL10RA,IRF4,BCL2A1","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"NUCLEAR EVENTS STIMULATED BY ALK SIGNALING IN CANCER",7
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",3.37052320055954e-05,0.000490832441081483,0.557332238758646,0.819598532203186,1.47109269623982,95,"HLA-E,NCF4,PSMB9,NCF1,BTK,HLA-F,LY96,TAP2,B2M,TAP1,HLA-B,CTSS,HLA-A,PSMB10,CYBB,MRC1,TLR4,NCF2,PSMB8,CYBA,HLA-C,CD14,PSME2,FCGR1A,HLA-G,CTSL,TLR1,RPS27A,CD36,TLR6,TLR2,TAPBP,UBA52,PSME1","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"ANTIGEN PROCESSING CROSS PRESENTATION",34
"REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING",6.58182020216452e-05,0.000902096533590785,0.538434096309916,0.891910585317816,1.56455377183211,35,"LCK,IL2RG,JAK3,CSF2RB,PIK3CD,INPP5D,STAT4,IL2RA,IL15RA,IL21R,IL15,LGALS9,CSF2RA,STAT1,IL2RB,IL3RA,HAVCR2,PTK2B","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 2 FAMILY SIGNALING",18
"REACTOME_INTERLEUKIN_10_SIGNALING",8.85109244548589e-05,0.00114572474433234,0.538434096309916,0.882051261575686,1.56016567112238,41,"CCL5,CCR5,IL12B,TNFRSF1B,CCL19,CCR2,IL10RA,FCER2,CXCL10,CCL4,IL10,PTAFR,CD86,IL1R2,CCL2,CCR1,IL6,IL18,IL12A,FPR1,CD80,PTGS2,CXCL2,ICAM1","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 10 SIGNALING",24
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",0.000122191798931639,0.00149845732374062,0.518848077743792,0.800424941772722,1.4363574660162,103,"FASLG,IL2RG,IL12B,TNFRSF1B,JAK3,FCER2,IRF4,SOCS1,IGHG1,S1PR1,IL10,ITGB2,STAT1,CCL2,VCAM1,SAA1,IL6,PIM1,ITGAX,IL18,IL23A,FOXO1,IL6R,IL12A,SOCS3,NDN,CCL11,ANXA1,VIM,TGFB1,PTGS2,ICAM1,POMC,IGHG4,IL4R,CCL22,FSCN1,RHOU,CD36,JUNB,HGF,HMOX1,JAK2,ALOX5,TWIST1,MMP3","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN 4 AND INTERLEUKIN 13 SIGNALING",46
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",0.000141704925358148,0.00165086238042243,0.518848077743792,0.742639911203847,1.32377185880484,230,"LCK,CTSW,PRKCQ,PRKCB,RASGRP2,LCP2,PLEK,FERMT3,SRGN,GNGT2,PIK3R5,FYN,APBB1IP,SELP,RAC2,PIK3CG,VAV1,GP1BA,PLCG2,LYN,PECAM1,GNG2,VWF,PIK3R6,F5,ARRB2,SERPING1,MMRN1,GNG11,FCER1G,IGF1,RHOG,CSK,PLA2G4A,A2M,TMSB4X,TOR4A,PRKCH,PROS1,DGKA,TGFB1,CFD,VEGFD,ITIH3,PTPN6,CLEC3B,RARRES2,LEFTY2,PSAP,F2R,F2RL2,PRKCA,SYK,CD36,VEGFB,HGF,GNAI2,LHFPL2,RAP1A,HABP4,TF","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"PLATELET ACTIVATION SIGNALING AND AGGREGATION",61
"REACTOME_DAP12_SIGNALING",0.000151113904541944,0.00167664475039395,0.518848077743792,0.913609594522467,1.56738564473384,25,"LCK,GRAP2,HLA-E,LCP2,KLRD1,FYN,BTK,PLCG2,B2M,TYROBP","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"DAP12 SIGNALING",10
"REACTOME_MITOTIC_SPINDLE_CHECKPOINT",0.000353031996244394,0.00373892977840654,0.49849310876659,-0.474041807178341,-1.70800376980626,109,"SEH1L,CLASP2,CKAP5,DYNC1I2,NDE1,CLIP1,CDC23,KNTC1,AHCTF1,BUB3,CDC27,CENPP,CENPQ,XPO1,PPP2CA,PPP2R5E,UBE2E1,DYNC1H1,PPP2R5D,MIS12,NUP98,NUP107,ITGB3BP,SPDL1,NUP133,PAFAH1B1,ZWINT,TAOK1,CENPE,ANAPC1,NUP43,NUF2,NUP37,NSL1,PPP2R5A,CENPF,DYNC1LI2,CENPI,KIF18A,MAPRE1,BUB1B,MAD2L1,ZWILCH,CENPU,CENPC,RANBP2,INCENP,ERCC6L,KNL1,CLASP1,SGO2,SPC25,PPP2R1B,ANAPC15,NUP85,CDC16,CENPO,SGO1,SKA1,NUP160,CENPH","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in Low/IC1",TRUE,"MITOTIC SPINDLE CHECKPOINT",61
"REACTOME_INTERFERON_SIGNALING",0.000499162028709268,0.00505672837779389,0.477270815362862,0.717831391247683,1.27915574043122,262,"GBP5,IFNG,HLA-E,GBP4,IRF4,GBP1,HLA-DPB1,CIITA,HLA-DRA,IRF8,SAMHD1,HLA-DPA1,IRF1,SOCS1,HLA-F,HLA-DRB1,HLA-DQA1,B2M,HLA-DQB1,HLA-B,PTAFR,CASP1,HLA-A,STAT1,TRIM22,VCAM1,GBP2,HLA-DQA2,HLA-DRB5,PML,PIM1,MX2,PSMB8,HLA-H,TRIM21,IFNAR2,HLA-C,ISG20,UBE2L6,HLA-DQB2,STAT2,SOCS3,MID1,IFI44,ICAM1,HERC5,FCGR1A,IFIT3,IRF5,IFI44L,PTPN6,IFI30,IFIH1,OASL,SP100,RSAD2,HLA-G,ISG15,RPS27A,XAF1,IFIT2,IFI35,BST2,EGR1,MX1,UBA7,IFNGR1,IRF7,UBA52,OAS2,TUBB6,IFITM3,IRF3,JAK2,NCK1,IRF9,IFI6,TYK2,SNCA,ACTB,IFI27,IFIT5,YBX1,USP18,KPNA5","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERFERON SIGNALING",85
"REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER",0.000782686758864475,0.00759858395064261,0.477270815362862,0.809443462467651,1.45063365985241,70,"LCK,TRAT1,ICOS,CD19,PIK3CD,PIK3R5,CD28,FYN,RAC2,PIK3CG,VAV1,CD86,PIK3AP1,PIK3R6","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"CONSTITUTIVE SIGNALING BY ABERRANT PI3K IN CANCER",14
"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",0.000900976013014688,0.00839709644129689,0.477270815362862,0.818674267725405,1.46596397585031,64,"HLA-E,IRF4,IRF8,SAMHD1,IRF1,SOCS1,HLA-F,HLA-B,HLA-A,STAT1,GBP2,MX2,PSMB8,HLA-H,IFNAR2,HLA-C,ISG20,STAT2,SOCS3,IFIT3,IRF5,PTPN6,OASL,RSAD2,HLA-G,ISG15,RPS27A,XAF1,IFIT2,IFI35,BST2,EGR1,MX1,IRF7,UBA52,OAS2,IFITM3,IRF3,IRF9,IFI6,TYK2,IFI27,IFIT5,USP18","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERFERON ALPHA BETA SIGNALING",44
"REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING",0.00111444894258019,0.00998717706235322,0.45505986738723,0.898795508948222,1.52195666367641,21,"IL2RG,JAK3,CSF2RB,PIK3CD,INPP5D,IL2RA,CSF2RA,IL2RB,IL3RA","LumA","High_Q4_vs_Low_Q1","ReactomeImmune","Enriched in High/IC2",TRUE,"INTERLEUKIN RECEPTOR SHC SIGNALING",9
